segment start,segement end,average riding comfort,acoustic comfort,thermal comfort,air quality/ventilation,acceleration & braking,vibration,jerks/shaking,crowdedness,participant id,line
North Acton,East Acton,4,4,4,4,4,4,4,1,12,Central
East Acton,White City,4,4,4,4,4,4,4,1,12,Central
White City,Shepherd's Bush,3,3,4,4,4,4,4,1,12,Central
Shepherd's Bush,Holland Park,2,2,4,4,3,3,3,1,12,Central
Holland Park,Notting Hill Gate,1,1,4,4,4,3,3,1,12,Central
Notting Hill Gate,Queensway,2,2,4,4,3,2,2,1,12,Central
Queensway,Lancaster Gate,2,2,4,4,4,2,2,1,12,Central
Lancaster Gate,Marble Arch,3,2,4,4,3,2,2,1,12,Central
Marble Arch,Bond Street,3,3,4,4,4,3,3,1,12,Central
Bond Street,Oxford Circus,2,3,4,4,4,2,2,1,12,Central
Oxford Circus,Tottenham Court Road,3,3,4,4,4,3,3,2,12,Central
Tottenham Court Road,Holborn,2,1,4,4,4,2,2,2,12,Central
Holborn,Chancery Lane,3,2,4,4,4,3,3,2,12,Central
Chancery Lane,St. Paul's,2,1,4,4,4,1,1,2,12,Central
St. Paul's,Bank,1,1,4,4,4,1,1,2,12,Central
Bank,Liverpool Street,1,1,4,4,4,4,4,2,12,Central
Liverpool Street,Bethnal Green,1,1,4,4,3,2,2,1,12,Central
Bethnal Green,Mile End,1,1,4,4,3,2,2,1,12,Central
Mile End,Stratford,2,1,4,4,3,2,2,1,12,Central
