segment start,segement end,average riding comfort,acoustic comfort,thermal comfort,air quality/ventilation,acceleration & braking,vibration,jerks/shaking,crowdedness,participant id,line
Elephant & Castle,Lambeth North  ,2,2,5,4,4,2,3,1,10,Bakerloo
Lambeth North  ,Waterloo  ,2,2,5,3,3,2,2,1,10,Bakerloo
Waterloo  ,Embankment  ,2,2,5,3,3,2,2,1,10,Bakerloo
Embankment  ,Charing Cross  ,3,3,4,3,3,3,3,2,10,Bakerloo
Charing Cross  ,Piccadilly Circus,2,2,4,3,3,2,2,2,10,Bakerloo
Piccadilly Circus,Oxford Circus  ,2,2,4,3,2,2,2,2,10,Bakerloo
Oxford Circus  ,Regent's Park  ,3,3,5,4,4,3,3,2,10,Bakerloo
Regent's Park  ,Baker Street  ,2,2,5,4,4,1,1,2,10,Bakerloo
Baker Street  ,Marylebone  ,2,3,5,3,2,2,2,2,10,Bakerloo
Marylebone  ,Edgware Road,2,3,5,3,3,2,2,2,10,Bakerloo
Edgware Road,Paddington  ,2,3,4,3,3,1,3,2,10,Bakerloo
Paddington  ,Warwick Avenue  ,3,3,4,3,4,3,3,1,10,Bakerloo
Warwick Avenue  ,Maida Vale  ,2,2,4,3,4,2,3,1,10,Bakerloo
Maida Vale  ,Kilburn Park  ,2,2,4,3,4,2,2,1,10,Bakerloo
Kilburn Park  ,Queen's Park  ,3,3,3,3,4,3,3,1,10,Bakerloo
Queen's Park  ,Kensal Green  ,4,4,4,4,4,4,4,1,10,Bakerloo
Kensal Green  ,Willesden Junction,3,3,4,3,4,3,3,1,10,Bakerloo
