segment start,segement end,average riding comfort,acoustic comfort,thermal comfort,air quality/ventilation,acceleration & braking,vibration,jerks/shaking,crowdedness,participant id,line
Manor House,Finsbury Park,3,4,4,4,3,3,2,3,15,Piccadilly
Finsbury Park,Arsenal,2,2,4,4,3,2,1,3,15,Piccadilly
Arsenal,Holloway Road,4,3,4,4,3,4,3,2,15,Piccadilly
Holloway Road,Caledonian Road,4,4,4,4,4,3,3,2,15,Piccadilly
Caledonian Road,King's Cross St. Pancras,2,3,4,4,3,3,3,2,15,Piccadilly
King's Cross St. Pancras,Russell Square,3,3,4,4,3,3,3,3,15,Piccadilly
Russell Square,Holborn,3,2,4,4,3,3,3,3,15,Piccadilly
Holborn,Covent Garden,3,3,4,4,3,3,3,2,15,Piccadilly
Covent Garden,Leicester Square,4,3,4,4,4,3,3,2,15,Piccadilly
Leicester Square,Piccadilly Circus,4,4,4,4,4,3,3,2,15,Piccadilly
Piccadilly Circus,Green Park,4,4,4,4,4,4,4,2,15,Piccadilly
Green Park,Hyde Park Corner,3,3,4,4,4,3,2,4,15,Piccadilly
Hyde Park Corner,Knightsbridge,3,3,4,4,4,4,4,4,15,Piccadilly
Knightsbridge,South Kensington,3,2,4,4,4,4,4,4,15,Piccadilly
South Kensington,Gloucester Road,3,3,4,4,4,3,3,4,15,Piccadilly
Gloucester Road,Earl's Court,2,1,4,3,4,3,3,4,15,Piccadilly
Earl's Court,Barons Court,2,1,4,3,3,3,3,4,15,Piccadilly
Barons Court,Hammersmith,3,4,4,4,3,3,2,4,15,Piccadilly
