segment start,segement end,average riding comfort,acoustic comfort,thermal comfort,air quality/ventilation,acceleration & braking,vibration,jerks/shaking,crowdedness,participant id,line
West Ham,Bromley-by-Bow,4,4,5,4,5,4,4,1,11,District
Bromley-by-Bow,Bow Road,4,4,5,4,5,4,5,1,11,District
Bow Road,Mile End,4,4,5,3,5,4,5,1,11,District
Mile End,Stepney Green,4,4,5,3,5,4,4,1,11,District
Stepney Green,Whitechapel,4,4,5,3,5,3,3,2,11,District
Whitechapel,Aldgate East,4,3,5,4,5,3,3,1,11,District
Aldgate East,Tower Hill,3,3,5,3,5,2,3,2,11,District
Tower Hill,Monument,3,3,5,3,5,2,3,2,11,District
Monument,Cannon Street,3,3,5,3,4,2,3,2,11,District
Cannon Street,Mansion House,4,4,5,4,4,3,4,2,11,District
Mansion House,Blackfriars,4,4,5,4,5,3,4,2,11,District
Blackfriars,Temple,4,4,5,4,4,4,4,2,11,District
Temple,Embankment,4,3,5,4,5,3,4,2,11,District
Embankment,Westminster,3,3,5,4,5,3,4,2,11,District
Westminster,St James's Park,3,3,5,4,4,2,3,2,11,District
St James's Park,Victoria,3,3,5,4,5,2,4,3,11,District
Victoria,Sloane Square,2,2,5,3,5,2,3,4,11,District
Sloane Square,South Kensington,3,2,5,3,5,3,4,4,11,District
South Kensington,Gloucester Road,3,3,5,4,5,2,2,3,11,District
Gloucester Road,Earl's Court,4,4,5,4,5,3,4,2,11,District
Earl's Court,West Kensington,2,2,5,4,5,2,3,2,11,District
West Kensington,Barons Court,3,3,5,4,5,2,2,2,11,District
Barons Court,Hammersmith,3,3,5,5,5,2,4,2,11,District
Hammersmith,Ravenscourt Park,3,3,5,5,5,3,3,2,11,District
Ravenscourt Park,Stamford Brook,4,4,5,5,5,4,4,2,11,District
Stamford Brook,Turnham Green,4,4,5,5,5,4,4,2,11,District
