Timestamps,spl
1642779563.961105,116.53342168825422
1642779564.461105,116.43847371126364
1642779564.961105,116.3025964041444
1642779565.461105,122.3777366830131
1642779565.961105,119.27830248052098
1642779566.461105,115.06300537427853
1642779566.961105,117.3112458980167
1642779567.461105,115.57904949440757
1642779567.961105,117.32662016337332
1642779568.461105,117.30034356547215
1642779568.961105,115.93548846173321
1642779569.461105,116.2292790465422
1642779569.961105,125.15003726659616
1642779570.461105,127.7985237524764
1642779570.961105,127.94672732652052
1642779571.461105,126.39756274126802
1642779571.961105,124.76179437806708
1642779572.461105,121.5694151278955
1642779572.961105,116.8049603807529
1642779573.461105,122.78909869875281
1642779573.961105,124.33460115186816
1642779574.461105,119.57461227999289
1642779574.961105,118.86512534532073
1642779575.461105,122.98161106312983
1642779575.961105,122.1426512228077
1642779576.461105,119.30535400232087
1642779576.961105,121.30851921739642
1642779577.461105,122.99495656747288
1642779577.961105,123.03434618402595
1642779578.461105,124.2694654906181
1642779578.961105,123.6297166330797
1642779579.461105,117.89951837664316
1642779579.961105,116.58873648077578
1642779580.461105,122.42665822212786
1642779580.961105,117.65745089542703
1642779581.461105,115.86801169221403
1642779581.961105,121.12921403214146
1642779582.461105,121.38129995652609
1642779582.961105,125.61510030246448
1642779583.461105,123.36156294357002
1642779583.961105,119.34676873111431
1642779584.461105,118.39540047589584
1642779584.961105,122.70508144350316
1642779585.461105,122.71483689768135
1642779585.961105,119.81948658836546
1642779586.461105,119.39677087408938
1642779586.961105,120.1679461203529
1642779587.461105,118.20261304128783
1642779587.961105,115.78010939525751
1642779588.461105,116.02915706840126
1642779588.961105,116.8029950019548
1642779589.461105,116.36974389323143
1642779589.961105,117.86198422088492
1642779590.461105,116.66213211547841
1642779590.961105,115.87356541410293
1642779591.461105,115.7169274410897
1642779591.961105,115.47088890937377
1642779592.461105,116.63551448307837
1642779592.961105,119.67452342528894
1642779593.461105,124.78233371227182
1642779593.961105,118.39931204893819
1642779594.461105,118.08549514547849
1642779594.961105,119.59359669779124
1642779595.461105,118.680432921017
1642779595.961105,121.8304461442575
1642779596.461105,115.65196321423463
1642779596.961105,114.37202535444646
1642779597.461105,115.96379702747168
1642779597.961105,116.52071723490704
1642779598.461105,115.17632899127919
1642779598.961105,115.13016436053157
1642779599.461105,117.18198336272093
1642779599.961105,116.85255132981771
1642779600.461105,115.97079897905992
